id,pergunta,resposta
1,O que é e como visualizo o vale-compra?,"O vale-compra é a opção de troca, onde o total pago pelo produto devolvido, fica disponível para você realizar uma nova compra."
2,Como funciona a Política de troca e devolução?,"Você pode solicitar a troca ou devolução do produto em até 7 dias corridos, a partir da data do recebimento do seu pedido. A troca pode ser pelo mesmo modelo do item, ou por um vale compras para utilizar em um item de sua preferência."
3,Como faço para rastrear meu pedido?,Você pode acompanhar o seu pedido pelo nosso aplicativo ou site.
4,Qual o prazo de aprovação do pedido?,"O prazo para a aprovação do pedido, depende da forma de pagamento escolhida no momento da compra."
5,Como faço para imprimir o boleto?,"Assim que você finaliza o pedido, a gente envia o boleto por e-mail. Por lá, você pode fazer o download para imprimir."
6,Como conseguir a 2° via da nota fiscal do meu pedido?,"Se você precisa da 2° via da notal fiscal do pedido, é só seguir os passos: Acesse o site e faça o login; Clique em “Meus pedidos” e depois em “Ver detalhes”; Na linha do tempo do seu pedido, a opção “Sua nota fiscal foi emitida. Aqui está ela”, estará disponível; Clique no link para fazer o download do arquivo."
7,"Preciso alterar meu e-mail ou senha, o que faço?",Você pode alterar seus dados pelo nosso site.
